Code,Country,Year,Sex,Litres
AUS,Australia,2000,F,4.92
BTN,Bhutan,2000,M,5
HND,Honduras,2000,M,4.97
TTO,Trinidad and Tobago,2000,A,5.01
SVK,Slovakia,2000,F,5.01
NLD,Netherlands (Kingdom of the),2000,F,5.05
KOR,Republic of Korea,2000,F,5.02
MWI,Malawi,2000,M,5.12
AGO,Angola,2000,A,5.19
BEL,Belgium,2000,F,5.15
ATG,Antigua and Barbuda,2000,A,5.29
GHA,Ghana,2000,A,5.32
SLV,El Salvador,2000,M,5.3
COL,Colombia,2000,A,5.34
DNK,Denmark,2000,F,5.27
SVN,Slovenia,2000,F,5.33
ESP,Spain,2000,F,5.34
VNM,Viet Nam,2000,M,5.44
JAM,Jamaica,2000,M,5.4
ZWE,Zimbabwe,2000,M,5.36
CUB,Cuba,2000,A,5.43
GUY,Guyana,2000,A,5.38
PAN,Panama,2000,A,5.37
LTU,Lithuania,2000,F,5.42
KGZ,Kyrgyzstan,2000,A,5.53
FSM,Micronesia (Federated States of),2000,M,5.57
HUN,Hungary,2000,F,5.56
RUS,Russian Federation,2000,F,5.58
GBR,United Kingdom of Great Britain and Northern Ireland,2000,F,5.61
MLT,Malta,2000,A,5.7
PRY,Paraguay,2000,A,5.68
CHE,Switzerland,2000,F,5.72
AND,Andorra,2000,F,5.7
CHN,China,2000,M,5.77
PHL,Philippines,2000,A,5.82
BLR,Belarus,2000,F,5.76
AUT,Austria,2000,F,5.88
PRT,Portugal,2000,F,5.92
ZMB,Zambia,2000,M,5.96
PER,Peru,2000,A,6.03
UZB,Uzbekistan,2000,M,6.14
MEX,Mexico,2000,A,6.16
DEU,Germany,2000,F,6.21
ARM,Armenia,2000,M,6.28
FRA,France,2000,F,6.28
PRK,Democratic People's Republic of Korea,2000,M,6.39
GMB,Gambia,2000,M,6.35
NIC,Nicaragua,2000,M,6.42
ECU,Ecuador,2000,M,6.43
CZE,Czechia,2000,F,6.36
LUX,Luxembourg,2000,F,6.36
KNA,Saint Kitts and Nevis,2000,A,6.46
WSM,Samoa,2000,M,6.49
LSO,Lesotho,2000,M,6.5
HTI,Haiti,2000,M,6.65
NOR,Norway,2000,A,6.63
CHL,Chile,2000,A,6.55
KAZ,Kazakhstan,2000,A,6.64
ARG,Argentina,2000,A,6.73
STP,Sao Tome and Principe,2000,A,6.74
CIV,Cote d'Ivoire,2000,M,6.9
BWA,Botswana,2000,A,6.94
ISL,Iceland,2000,A,6.92
BRB,Barbados,2000,A,7.02
URY,Uruguay,2000,A,6.97
GNB,Guinea-Bissau,2000,M,7.08
IRL,Ireland,2000,F,7.09
NRU,Nauru,2000,M,7.18
UGA,Uganda,2000,F,7.18
MKD,North Macedonia,2000,M,7.28
ALB,Albania,2000,M,7.3
VCT,Saint Vincent and the Grenadines,2000,M,7.25
BLZ,Belize,2000,M,7.39
LBR,Liberia,2000,M,7.35
CRI,Costa Rica,2000,M,7.45
CPV,Cabo Verde,2000,M,7.41
SYC,Seychelles,2000,A,7.41
BDI,Burundi,2000,A,7.48
SUR,Suriname,2000,M,7.65
GRD,Grenada,2000,A,7.69
NIU,Niue,2000,A,7.71
JPN,Japan,2000,A,7.66
BHS,Bahamas,2000,M,7.8
GNQ,Equatorial Guinea,2000,A,7.75
BFA,Burkina Faso,2000,A,7.86
DOM,Dominican Republic,2000,A,7.91
NGA,Nigeria,2000,A,7.93
MUS,Mauritius,2000,A,8.01
NAM,Namibia,2000,M,8.06
TTO,Trinidad and Tobago,2000,M,8.1
DMA,Dominica,2000,A,8.12
LAO,Lao People's Democratic Republic,2000,A,8.18
VEN,Venezuela (Bolivarian Republic of),2000,A,8.17
BIH,Bosnia and Herzegovina,2000,M,8.32
AGO,Angola,2000,M,8.32
COD,Democratic Republic of the Congo,2000,A,8.29
ROU,Romania,2000,F,8.54
GHA,Ghana,2000,M,8.62
THA,Thailand,2000,A,8.61
CUB,Cuba,2000,M,8.75
COL,Colombia,2000,M,8.69
GUY,Guyana,2000,M,8.67
PAN,Panama,2000,M,8.67
BRA,Brazil,2000,A,8.71
GRC,Greece,2000,A,8.73
ATG,Antigua and Barbuda,2000,M,8.83
LVA,Latvia,2000,A,8.9
PRY,Paraguay,2000,M,8.91
CYP,Cyprus,2000,A,8.86
MLT,Malta,2000,M,8.96
ZAF,South Africa,2000,A,8.96
USA,United States of America,2000,A,9.05
PER,Peru,2000,M,9.28
PHL,Philippines,2000,M,9.36
SWE,Sweden,2000,A,9.37
CAN,Canada,2000,A,9.38
SWZ,Eswatini,2000,A,9.43
GAB,Gabon,2000,A,9.64
KGZ,Kyrgyzstan,2000,M,9.65
POL,Poland,2000,A,9.65
NZL,New Zealand,2000,A,9.77
,,,,
